"","Protein","Min","Max"
"1","P49411",83,215
"2","P49411",84,215
"3","P17745",106,237
"4","P32481",339,475
"5","P32481",344,475
"8","O50274",267,395
"9","O50274",276,395
"10","O33581",61,200
"11","B1KMH4",264,398
"12","B9JB95",61,200
"13","Q7UMW2",267,395
"14","Q8UH69",64,203
"15","Q8AAP9",260,396
"16","Q8AAP9",269,396
"17","P56893",67,206
"18","Q487Z1",500,638
"19","Q8XV10",40,170
"20","Q1BRU5",40,170
"21","Q39SN2",39,164
"22","Q39SN2",39,166
"23","Q8EIJ7",512,636
"24","Q8EIJ7",512,642
"27","Q088A4",512,636
"28","Q088A4",512,642
"31","Q088A4",517,636
"32","Q088A4",517,642
"35","A2QI77",135,266
"36","B9W9T4",97,228
"37","B9W9T4",102,228
"38","Q6BPD3",110,236
"39","A1CXG4",136,267
"40","B6QHL4",138,268
"41","A2S7H3",40,170
"42","B3E7T2",166,297
"43","Q8PNS6",40,170
"44","Q40034",271,399
"46","Q5JFZ4",43,177
"47","Q03033",271,399
"49","Q3JMR0",40,170
"50","A5DK38",104,230
"51","Q6FDS6",40,170
"52","B9MB70",40,170
"53","B9LJC8",40,171
"54","Q7NQF0",40,170
"55","A4G9U1",40,170
"56","Q5FM92",42,166
"57","Q04VH3",176,307
"58","B1HMZ1",40,169
"59","Q6CZW5",527,651
"60","Q6CZW5",527,657
"63","Q3BWY7",40,170
"64","P50257",93,211
"65","P50257",93,218
"68","Q13TG7",40,170
"69","Q7MI49",544,670
"70","A1CHC3",135,266
"71","Q6FUQ6",101,227
"72","Q6CRY5",99,225
"73","C1F645",259,395
"75","B9KHV3",40,167
"76","B2V7L6",40,163
"78","Q9PA90",40,170
"79","Q43467",109,240
"80","A5CCL4",39,170
"81","Q5PBH1",37,168
"82","O66429",38,174
"83","O66429",43,174
"84","P13552",39,170
"85","A8F982",35,171
"86","A7Z0N5",35,171
"87","Q6MJ00",34,170
"88","Q79GC6",40,170
"89","P49410",83,215
"90","P49410",84,215
"91","Q057A2",36,170
"92","B9MQH1",34,170
"93","O50306",34,170
"94","Q2FRI3",198,325
"95","P32186",266,401
"97","Q9V0V7",43,177
"98","Q8U152",43,177
"99","P17197",43,177
"100","O24534",271,399
"102","Q17152",25,143
"103","Q96X45",398,529
"106","Q96X45",403,529
"108","Q1LI29",40,170
"109","Q2SU24",40,170
"110","Q0HRE9",512,636
"111","Q0HRE9",512,642
"114","Q0CLP3",136,267
"115","Q0CLP3",137,267
"116","B6H460",133,264
"117","C3PKP1",184,309
"119","Q4JT40",184,310
"120","A7MKJ6",527,651
"121","A7MKJ6",527,657
"124","A6T3K7",40,170
"125","C1DAR4",40,170
"126","Q04Y01",176,307
"127","Q1QN33",40,166
"128","C6DG80",527,651
"129","C6DG80",527,657
"132","B4R8L3",40,166
"133","Q8KTB0",164,288
"134","B0RU84",35,170
"135","A1WCN6",40,170
"136","A5D5I8",34,170
"137","A5D5I8",39,170
"138","Q40450",108,239
"139","A4SHU2",36,170
"140","Q5WLR4",35,171
"141","Q79G84",40,170
"142","Q7TT91",40,170
"143","A4XI37",34,170
"144","Q877L9",36,170
"145","Q877L9",39,170
"146","B1WQY4",39,170
"147","B7K834",34,170
"148","B7K834",39,170
"149","C0Q9Y7",36,170
"150","A1VAK4",36,170
"151","B1YGU8",35,170
"152","P19457",35,169
"153","B0TC54",34,170
"154","B0TC54",39,170
"155","Q2EEV7",38,170
"156","Q18EY5",43,170
"157","B8GIQ3",44,171
"158","Q41011",271,399
"160","Q8LPC4",275,393
"161","Q62GK2",40,170
"162","Q12JZ0",512,636
"163","Q12JZ0",512,642
"166","Q9KPM5",499,637
"167","B7GYM8",40,170
"168","Q8A474",39,166
"169","A9WH62",40,171
"170","A8AQM8",527,651
"171","A8AQM8",527,657
"174","Q74L90",42,166
"175","Q2GD82",41,168
"176","A8F4Q8",44,167
"177","B0CCD0",39,170
"178","O50293",38,174
"179","O50293",43,174
"180","Q06J54",35,170
"181","Q06J54",38,170
"182","Q99QM0",39,170
"183","P17746",38,170
"184","P17746",39,170
"185","Q97EH5",34,170
"186","A5N4N1",34,170
"187","A5N4N1",39,170
"188","A3DJ00",34,170
"189","B7JUP5",34,170
"190","B8DLL9",36,170
"191","Q9TJQ8",36,170
"192","Q9TJQ8",38,170
"193","Q9TJQ8",39,170
"194","P42478",35,169
"195","P42478",36,169
"196","P42476",39,170
"197","Q31IY4",31,170
"198","Q31IY4",36,170
"199","P68158",108,239
"200","Q118Z2",34,170
"201","Q9P9Q9",35,170
"202","P29521",271,399
"204","Q27139",271,399
"205","P50256",275,393
"206","Q12WT3",43,170
"207","A2STF0",248,388
"208","A5ULM5",252,378
"210","P17786",271,399
"212","C5A5P4",43,177
"213","Q60BD3",467,589
"215","A8EW86",40,169
"216","Q046C7",42,166
"217","B1Y7G9",40,170
"218","Q3J8R1",428,565
"219","A8GV17",164,288
"220","A5D5K0",34,170
"221","A5D5K0",39,170
"222","Q9KV37",36,170
"223","P46280",109,240
"224","Q9KUZ6",36,170
"225","Q43364",115,246
"226","A9NEN4",32,170
"227","A9NEN4",37,170
"228","Q2GJ61",37,168
"229","B7GJ65",34,170
"230","Q9Z9L6",35,171
"231","A9VP75",40,170
"232","Q2L2G6",40,170
"233","A2CI56",38,167
"234","A2CI56",38,170
"235","P17245",34,170
"236","P17245",36,170
"237","P17245",39,170
"238","P14634",39,170
"239","C5D3R5",34,170
"240","A4G9U0",40,170
"241","Q1MPT8",36,170
"242","Q1MPT8",40,170
"243","Q0ANN1",40,170
"244","P13927",34,170
"245","A6YG72",36,170
"246","A6YG72",38,170
"247","A6YG72",39,170
"248","P51287",39,170
"249","A6MW28",38,170
"250","Q1RHL9",31,171
"251","A5F3K0",36,170
"252","Q8NL22",35,170
"253","Q2IJ93",40,163
"254","Q39KH0",40,170
"255","Q46WE0",40,170
"256","Q63Q08",40,170
"257","Q6AP74",40,165
"258","Q9X1Y4",503,623
"260","Q5AL45",97,228
"261","Q5AL45",102,228
"262","Q5B6J8",133,264
"263","A3GHT9",116,242
"264","B8MJJ5",139,269
"265","B0VTG3",40,170
"266","B4RSU5",513,637
"267","B4RSU5",513,643
"270","B4RSU5",544,670
"271","Q5PBH2",40,167
"272","Q7VTD5",40,174
"273","B1VET0",262,392
"274","B8HVR8",273,401
"275","Q1IX68",380,503
"278","Q1IX68",384,503
"279","Q3SLQ2",40,170
"280","C4LBU4",266,395
"281","O63930",9,144
"282","O63930",12,144
"283","P50064",39,167
"284","P50064",39,170
"285","P18906",39,170
"286","Q9TKZ5",39,171
"287","Q0P3M7",38,170
"288","Q0P3M7",39,170
"289","A1ALS6",32,170
"290","Q123F6",40,170
"291","B1XI63",36,170
"292","Q3BWY6",35,170
"293","Q877P8",35,170
"294","Q9ZT91",89,225
"295","A1W2Q5",40,170
"296","P56292",39,170
"297","C6C171",36,170
"298","B8J1A0",36,170
"299","Q727D5",36,170
"300","Q5L3Z9",34,170
"301","Q9MUP0",35,170
"302","Q9MUP0",38,170
"303","B0JSE0",39,170
"304","Q8BFR5",83,215
"305","Q8BFR5",84,215
"306","Q8EX18",39,170
"307","P23568",34,170
"308","Q20EU5",39,171
"309","Q20EU5",40,171
"310","O24310",118,249
"311","Q4FLK5",36,170
"312","Q3ZJ24",38,170
"313","Q1XDK1",39,170
"314","P85834",83,215
"315","P85834",84,215
"316","A8GVB2",31,171
"317","Q06SH3",39,170
"318","Q67JU1",34,170
"319","P74227",39,170
"320","Q1KVS9",38,170
"321","Q1KVS9",39,170
"322","Q0CS42",93,221
"323","A6QLJ3",92,221
"324","A8XT37",66,189
"325","C8VPJ1",90,218
"326","C5DN84",65,196
"327","Q8C3X4",74,203
"328","D1ZET3",115,246
"329","B8MS24",93,221
"330","C4JWU3",91,219
"331","Q6C255",81,209
"332","C5DWG7",69,199
"333","A9RFQ5",111,236
"335","A6RGX9",85,213
"336","C5FMX6",92,220
"337","A1CLD7",92,220
"338","Q9FNM5",60,182
"339","Q38BU9",140,267
"340","C6HPI9",85,213
"341","Q74ZG2",72,201
"342","A2QU25",94,222
"343","Q59P53",83,211
"344","C5PCH4",91,219
"345","B0CS18",56,183
"346","A1D5Z0",92,220
"347","C1GX39",86,214
"348","B6H2S6",94,222
"349","B7G816",61,187
"350","A5DG70",88,218
"351","C0NZL9",85,213
"352","Q2U3T4",92,220
"353","C4YIT6",83,211
"354","C4Y8M4",89,220
"355","Q6BMV8",61,192
"356","Q8N442",92,221
"357","Q7S0P6",145,275
"358","C0SHD5",86,214
"359","B6QW35",91,219
"360","A7TPD4",211,342
"362","B0XZZ2",92,220
"363","P34617",66,189
"364","B9WBR8",83,211
"365","C5M6K8",82,210
"366","Q6CUH2",60,188
"367","Q6CUH2",65,188
"368","A5DWY7",101,231
"369","C1GGI6",86,214
"370","Q0V3J4",88,216
"371","D0NKK0",31,155
"372","P46199",186,320
"373","A0B8Q6",267,403
"374","Q9HJ60",73,202
"375","Q9HJ60",286,412
"376","Q6FF40",407,540
"377","Q6FF40",598,729
"378","C1F697",768,889
"380","B3H163",348,482
"381","B3H163",540,671
"382","A6VNE0",345,478
"383","A6VNE0",536,667
"384","A4SJR5",406,539
"385","B9JYK6",432,565
"386","Q0A797",391,524
"387","Q0A797",582,713
"388","A6TRK7",216,349
"389","B3EUG6",415,549
"390","Q2IPZ7",457,590
"391","Q2IPZ7",648,779
"392","Q5PAJ5",339,472
"393","Q3MBZ7",335,458
"394","Q3MBZ7",540,677
"395","O67825",314,448
"396","A8EWD7",395,528
"397","Q64ZR4",522,656
"398","Q64ZR4",714,845
"399","A8FDD1",215,348
"400","Q8A2A1",547,681
"401","A7Z4T4",225,358
"402","A9VT50",198,331
"403","Q1LSK8",387,520
"404","B2IIJ7",558,692
"405","A1A0A2",432,569
"406","Q8YEB3",465,598
"407","B8D9G2",372,505
"408","Q8K9H1",375,508
"409","B1YP36",480,613
"410","B1YP36",556,680
"412","A4XL70",369,502
"413","A4XL70",560,690
"414","B0RDY9",445,582
"415","B8I6E7",671,804
"416","A0Q0Q7",190,323
"417","A0Q0Q7",381,512
"418","Q8XJR8",186,319
"419","Q8XJR8",377,508
"420","A3DE44",545,678
"421","C3PH19",409,546
"422","Q8FPA7",467,604
"423","Q4JV51",426,563
"424","B7KIU2",600,737
"425","B8J1Y4",504,636
"426","Q72ER1",375,506
"427","Q72ER1",387,506
"428","Q72ER1",586,719
"429","B2GBN7",284,417
"430","A8YVQ7",379,512
"431","P58002",451,586
"432","Q038M5",452,585
"433","A5VJE0",261,394
"434","Q1WUF4",246,379
"435","Q38W81",446,579
"436","Q7MYY7",416,549
"437","Q7MYY7",416,551
"438","A4SY78",426,559
"439","Q12AU7",476,609
"440","Q7MXE4",486,620
"441","Q7MXE4",678,809
"442","Q6A7M5",466,603
"443","A2BT70",626,763
"444","A2BT70",831,955
"445","Q9ZF22",424,557
"446","B7V1F6",348,481
"447","Q4KIF6",346,479
"448","A8F5A0",182,316
"449","Q1MN39",423,556
"450","Q92SW4",395,528
"451","C0ZYA5",485,622
"452","Q2J2J9",391,526
"453","A8EYF4",339,473
"454","Q68WI4",337,471
"455","A9MP36",400,533
"456","A9MP36",400,535
"457","Q2S1N7",532,664
"458","Q2S1N7",532,668
"459","Q2S1N7",726,857
"460","Q8Z3H7",399,532
"461","Q8Z3H7",399,534
"462","Q12QI1",392,525
"463","Q12QI1",583,712
"464","Q12QI1",593,712
"465","B2U207",397,530
"466","B2U207",397,532
"467","A6UF29",391,524
"468","Q1GVI9",352,486
"469","Q3K302",436,569
"470","Q82K53",547,684
"471","C0M8P7",465,598
"472","A8AVQ2",463,596
"473","B4SQS0",390,523
"474","B4SQS0",581,713
"475","C1C5S8",440,573
"476","Q97S57",468,601
"477","A4W3R7",450,583
"478","A3CQ18",440,573
"479","Q5M5V5",453,586
"480","Q30SS6",382,515
"481","Q67P86",554,687
"482","Q31LL9",530,667
"483","Q31LL9",735,859
"484","A0LHL8",463,596
"485","B1XI09",476,613
"486","A5GVG4",606,743
"487","A5GVG4",811,935
"488","Q0I7K2",629,766
"489","Q0I7K2",834,958
"490","Q0AYI8",391,524
"491","Q8DK04",452,589
"492","Q9WZN3",186,320
"493","Q3SKX1",430,563
"494","Q3SKX1",430,565
"495","Q5NQ27",497,631
"496","Q9SHI1",507,644
"497","Q9SHI1",712,849
"498","A6MVX8",258,395
"499","A6MVX8",453,582
"500","Q980A5",56,180
"501","Q91YJ5",186,320
"502","G0S8G9",808,932
"503","B9LQL7",260,387
"504","Q10251",340,476
"505","Q97BK4",73,202
"506","A0LV27",380,517
"507","A1W8Z4",451,584
"508","Q0VSS1",406,539
