"","Protein","Min","Max"
"1","Q8K3L6",45,201
"2","Q8K3L6",45,206
"3","Q8K3L6",45,208
"7","Q8K3L6",50,201
"8","Q8K3L6",50,206
"9","Q8K3L6",50,208
"13","Q8NHV1",9,154
"14","Q8NHV1",9,164
"15","Q8NHV1",9,167
"16","Q8NHV1",9,169
"20","Q8NHV1",14,164
"21","Q8NHV1",14,167
"22","Q8NHV1",14,169
"23","Q8NHV1",14,173
"24","Q8NHV1",14,174
"25","Q8NHV1",14,179
"26","Q9UG22",9,162
"27","Q9UG22",9,165
"28","Q9UG22",9,168
"32","Q9UG22",9,171
"33","Q9UG22",9,172
"34","Q9UG22",23,179
"35","Q9UG22",23,184
"37","Q9UG22",23,188
"38","Q9UG22",28,179
"39","Q9UG22",28,184
"41","Q9UG22",28,188
"48","Q9UG22",33,179
"49","Q9UG22",33,184
"51","Q9UG22",33,188
"59","Q9UG22",38,184
"60","Q9UG22",38,188
"64","Q9UG22",133,292
"65","Q41009",40,197
"66","Q41009",40,199
"67","Q41009",40,201
"68","Q41009",45,197
"69","Q41009",45,199
"70","Q41009",45,201
"75","Q41009",45,211
"81","Q41009",95,246
"82","Q41009",95,248
"87","Q41009",144,292
"88","Q41009",144,298
"90","Q41009",149,292
"91","Q41009",149,298
"93","Q9SLF3",135,295
"94","Q9SLF3",135,297
"95","Q9SLF3",135,298
"96","Q9SLF3",138,295
"97","Q9SLF3",138,297
"98","Q9SLF3",138,298
"99","Q9SLF3",142,295
"100","Q9SLF3",142,297
"101","Q9SLF3",142,298
"102","Q9SLF3",177,318
"103","Q9SLF3",177,324
"104","Q9SLF3",177,325
"107","Q9SLF3",177,329
"108","Q9SLF3",177,330
"109","Q9SLF3",177,335
"110","Q9SLF3",177,336
"111","Q9SLF3",177,337
"115","Q9SLF3",575,724
"116","Q9SLF3",575,729
"117","Q9SLF3",575,733
"118","Q9SLF3",580,724
"119","Q9SLF3",580,729
"120","Q9SLF3",580,733
"121","Q9SLF3",616,777
"122","Q9SLF3",616,778
"123","Q9SLF3",616,780
"127","Q9SLF3",1019,1165
"128","Q9SLF3",1019,1170
"129","Q9SLF3",1019,1175
"130","Q9SLF3",1019,1176
"131","Q9SLF3",1019,1181
"135","Q9SLF3",1032,1184
"136","O81283",16,161
"137","O81283",16,168
"138","O81283",16,170
"139","O81283",16,175
"140","O81283",16,177
"164","O81283",42,197
"175","O81283",42,209
"176","O81283",78,231
"177","O81283",78,235
"178","O81283",78,240
"190","O81283",134,280
"191","O81283",134,287
"193","O81283",134,289
"195","O81283",134,300
"200","O81283",195,347
"202","O81283",195,352
"205","O81283",196,347
"207","O81283",196,352
