,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
P38424,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ZG89,22,22,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9RNL6,7,17,18.0,22.0,7.0,17.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9X1H7,17,21,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8X8H0,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q83PF4,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q180E5,5,15,18.0,22.0,24.0,5.0,15.0,18.0,22.0,24.0,5.0,15.0,18.0,22.0,24.0,5.0,15.0,18.0,22.0,24.0,5.0,15.0,18.0,22.0,24.0,5.0,15.0,18.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4ZZT0,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9PDE9,5,7,18.0,22.0,29.0,31.0,5.0,7.0,18.0,22.0,29.0,31.0,5.0,7.0,18.0,22.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4FV29,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
