"","Protein","Min","Max"
"1","Q969Y2",255,396
"2","P32559",280,416
"3","P32559",280,422
"4","Q9WYA4",6,136
"5","Q9WYA4",6,140
"6","Q9WYA4",82,224
"7","Q9WYA4",217,352
"8","P25811",227,360
"10","Q8KAS1",46,190
"11","Q8KAS1",236,374
"12","Q8YN91",227,359
"13","Q8YN91",227,360
"14","Q8YN91",227,361
"15","Q923K4",255,396
"16","Q923K4",255,400
"17","Q8Y3H5",26,153
"18","Q8Y3H5",26,154
"19","Q8Y3H5",26,157
"20","Q8Y3H5",26,158
"21","Q8Y3H5",26,161
"22","Q8Y3H5",237,376
"23","Q8Y3H5",237,381
"24","Q9KVY5",221,356
"25","Q8DPZ8",229,357
"26","P43730",220,353
"27","P43730",220,355
"28","A5F485",221,356
"29","Q9CLQ1",30,181
"32","Q9CLQ1",220,355
"33","Q9CLQ1",220,362
"34","Q8DDI1",221,356
"35","Q8XB41",222,357
"36","P94612",222,355
"37","P94612",222,359
"38","P97043",12,146
"39","P97043",226,359
"40","Q8KPU2",229,357
"41","Q8KPU2",229,362
"42","Q8KPU2",229,363
"43","Q8KPU2",229,364
"44","Q0KFG6",15,142
"45","Q0KFG6",15,143
"46","Q0KFG6",15,146
"47","Q0KFG6",15,147
"48","Q0KFG6",15,150
"49","Q0KFG6",226,364
"50","Q0KFG6",226,365
"51","Q0BAQ4",16,148
"52","Q0BAQ4",16,149
"53","Q0BAQ4",16,152
"54","Q0BAQ4",16,156
"59","Q0BAQ4",232,366
"60","Q55C52",252,402
"61","Q5PQQ1",255,396
"62","Q5PQQ1",255,400
"63","Q501Z5",39,173
"64","Q501Z5",39,178
"65","Q501Z5",42,173
"66","Q501Z5",42,178
"67","Q501Z5",254,393
"68","Q501Z5",254,394
"69","Q501Z5",254,397
"70","Q501Z5",254,402
"71","A4WGH1",222,357
"72","B1YGA8",228,361
"73","B1YGA8",228,365
"74","B0S3V2",223,353
"75","A6GXB2",227,364
"76","Q8RHA2",225,355
"77","Q8RHA2",225,358
"78","A4ITX1",230,360
"79","A4ITX1",230,363
"80","Q7NHT3",224,353
"81","Q7NHT3",224,354
"82","Q9ZJG6",18,146
"83","Q9ZJG6",18,149
"84","Q9ZJG6",18,151
"85","Q9ZJG6",230,361
"86","B0URU2",31,182
"89","B0URU2",221,353
"90","B0URU2",221,355
"91","Q5QZJ5",226,361
"92","A6TG09",222,357
"93","Q5FHQ5",230,360
"94","Q5FHQ5",230,362
"95","Q1G7Z4",230,360
"96","Q1G7Z4",230,362
"97","A8YTQ7",230,362
"98","Q9CDH8",228,356
"99","Q9CDH8",228,364
"101","A9KLX9",227,359
"102","Q1WVH7",38,175
"103","Q1WVH7",232,365
"104","Q1WVH7",326,457
"105","B0SAE4",228,361
"106","B0SAE4",228,364
"107","Q04XE4",12,146
"108","Q04XE4",226,359
"109","A2SMI8",17,154
"110","A2SMI8",17,155
"111","A2SMI8",17,158
"112","A2SMI8",17,161
"113","A2SMI8",17,163
"114","A2SMI8",238,373
"115","Q2RFI8",226,359
"116","Q2RFI8",226,362
"117","Q2RFI8",226,372
"118","Q2SR47",223,354
"119","B2A470",226,359
"121","B4RRB9",33,170
"122","B4RRB9",33,171
"127","B4RRB9",222,350
"128","B4RRB9",222,353
"129","Q0AE55",221,352
"130","Q0AE55",221,355
"131","Q8CX54",227,359
"132","Q6YPI0",225,352
"133","Q6YPI0",225,359
"134","Q6YPI0",225,361
"135","Q6YPI0",225,362
"139","Q6MFA3",231,359
"140","C6DK97",222,357
"141","Q39ZT0",226,355
"142","A5CY46",226,360
"143","Q03D59",231,363
"144","Q03D59",231,364
"145","Q03D59",231,367
"146","A9BHZ7",219,356
"147","Q6LW56",223,358
"148","A4T0N1",10,142
"149","A4T0N1",10,146
"150","A4T0N1",10,147
"151","A4T0N1",10,150
"156","A4T0N1",15,142
"157","A4T0N1",15,146
"158","A4T0N1",15,147
"159","A4T0N1",15,150
"160","A4T0N1",226,359
"161","A4T0N1",226,363
"162","A2CDC4",233,368
"163","B4F0U0",222,357
"164","Q7V395",15,151
"165","Q7V395",15,154
"166","Q7V395",228,363
"167","Q7V395",233,363
"168","Q48BF3",222,356
"169","Q48BF3",222,358
"170","Q48BF3",222,361
"171","Q48BF3",222,363
"172","A6VF44",222,358
"173","A6VF44",222,362
"174","A1T0N0",223,358
"175","Q92KW1",12,142
"176","Q92KW1",12,147
"177","Q21QM5",17,154
"178","Q21QM5",17,155
"179","Q21QM5",17,158
"180","Q21QM5",17,160
"181","Q21QM5",17,162
"182","Q21QM5",17,164
"183","Q21QM5",238,375
"184","A5UY19",222,354
"185","A5UY19",222,357
"186","A1S1G4",221,356
"187","Q8CX52",221,356
"188","Q329B1",222,357
"189","A6UEE9",12,142
"190","A6UEE9",12,147
"191","Q02A42",210,358
"193","Q48TS5",230,358
"194","A0LLH5",237,368
"195","A0LLH5",237,371
"196","A5GPA1",232,363
"197","A5GPA1",232,365
"198","A5GPA1",232,367
"199","A5GPA1",232,370
"200","A5GW82",230,358
"201","A5GW82",230,362
"202","A5GW82",230,366
"203","A5GW82",230,367
"204","A5IKF4",6,136
"205","A5IKF4",6,140
"206","A5IKF4",82,224
"207","A5IKF4",217,352
"208","Q5SJS7",9,142
"209","Q5SJS7",9,146
"210","Q5SJS7",9,149
"214","Q73KN7",231,364
"215","Q73KN7",231,371
"216","Q73KN7",231,372
"217","B0CBB0",226,354
"218","B0CBB0",226,356
"219","B0CBB0",226,357
"220","A1TWI4",16,153
"221","A1TWI4",16,154
