"","Protein","Min","Max"
"1","P33650",9,149
"2","Q9PMQ9",9,138
"3","Q9PMQ9",9,144
"4","Q57986",9,144
"5","Q57986",9,145
"6","O25396",9,144
"7","Q7MVL1",40,173
"8","Q7MVL1",40,175
"9","Q8GNS3",7,141
"10","Q8GNS3",7,146
"11","P74884",9,149
"12","Q9ZLF3",9,144
"13","Q83PW3",9,149
"14","Q5ZS62",7,141
"15","Q5ZS62",7,146
"16","P73182",24,159
"17","Q5XPH7",506,638
"18","Q5XPH7",506,640
"19","Q5XPH7",506,642
"20","Q5XPH7",506,646
"21","Q5XPH7",506,648
"22","Q5X1N2",7,141
"23","Q5X1N2",7,146
"24","Q5WTE1",7,141
"25","Q5WTE1",7,146
