"","Protein","Min","Max"
"1","B8GYI7",36,270
"2","P0ABU2",8,241
"7","Q6Z1J6",30,270
"8","Q9SA73",30,270
"9","O44411",420,655
"10","P95722",217,449
"19","Q5F5D9",74,306
"21","Q9KUS8",36,273
"22","P38860",101,339
"23","Q29K06",85,312
"24","F4HSD4",73,303
"26","F4HSD4",124,354
"29","A5FV29",36,270
"30","B7J427",36,267
"31","B7J427",36,273
"34","A0KGS9",36,273
"36","Q0VSE6",31,262
"39","Q0VSE6",36,262
"40","A0JXJ8",70,296
"42","B3DPS4",75,302
"43","Q2L062",120,348
"44","Q7W1P2",120,348
"46","B9MRB8",35,272
"47","A7I166",40,281
"49","A7I166",54,281
"53","P0CB41",36,270
"54","Q824F3",35,275
"55","B3EHE6",36,270
"57","B3EHE6",41,270
"61","Q1R0C0",36,273
"62","A5CR32",37,266
"63","A5CR32",37,278
"64","B2V0A8",35,272
"65","B2V0A8",40,272
"67","B1ILY5",35,272
"68","A0Q1T4",35,272
"69","B1VGL9",37,274
"70","B1VGL9",70,302
"73","B1VGL9",75,302
"76","B1VGL9",78,302
"77","B1VGL9",138,369
"81","B1VGL9",143,369
"83","Q1LIQ0",36,274
"84","B7JVH9",36,270
"86","Q47AD0",36,274
"87","Q47AD0",74,310
"90","Q1IW72",120,355
"92","C0QLE9",36,273
"93","A8ZRY1",36,273
"94","B8DRN9",74,308
"96","A8LK09",36,269
"97","B2KAW2",34,270
"98","B2KAW2",36,270
"101","B2KAW2",36,281
"102","B2KAW2",41,270
"104","B2KAW2",41,281
"105","B2KAW2",196,426
"107","Q39QR4",74,306
"108","Q7VP37",36,273
"110","B8F871",36,273
"112","B0TBW1",35,272
"113","Q28Q12",36,269
"114","B0S9A3",75,311
"119","Q054P6",75,310
"122","B3DVG9",71,306
"123","B3DVG9",73,306
"124","B8EQH4",36,269
"125","A0QDH0",37,267
"126","B1MMY5",70,298
"127","B1MMY5",70,302
"135","B1MMY5",75,298
"136","B1MMY5",75,302
"141","B1MMY5",120,343
"142","P47624",13,250
"143","A5IYU8",32,269
"144","A5IYU8",35,269
"146","A5IYU8",37,269
"147","Q1B629",37,267
"148","Q1B629",65,302
"149","Q1B629",70,302
"152","Q1B629",75,302
"155","Q1DC95",36,274
"156","B2A6B7",35,272
"157","A1KWG2",74,306
"159","Q5Z041",37,267
"160","Q5Z041",37,274
"161","Q5Z041",65,293
"162","Q5Z041",68,293
"163","Q5Z041",70,293
"164","A1SMB4",39,274
"165","B2IYX1",36,270
"167","Q8EPQ0",35,272
"168","Q8EPQ0",40,272
"169","Q8EPQ0",68,301
"171","A1R787",70,296
"173","B2JHD7",74,306
"176","B2JHD7",120,349
"177","B2JHD7",120,361
"178","Q6MEQ6",30,266
"180","Q6MEQ6",35,266
"182","Q7MYX6",36,273
"184","Q1QA43",34,273
"185","Q1QA43",36,273
"188","Q1QA43",120,345
"189","A1S9H3",36,273
"191","Q022G3",73,302
"193","A8AWM9",77,309
"194","Q04KK7",77,313
"195","Q8P0I6",77,309
"196","B8ZPS8",75,311
"197","Q2JS78",36,270
"199","Q5N4J6",36,270
"201","Q73LW4",97,326
"207","B2I6V6",13,250
"208","C1F9K2",30,259
"209","C1F9K2",35,276
"210","B5ELU2",36,267
"211","B5ELU2",36,273
"214","A3MYB2",120,345
"215","B4RZH3",36,273
"217","B6YRA6",77,301
"218","Q5P7Z4",74,303
"220","Q1LSJ9",13,249
"222","Q1LSJ9",36,273
"224","Q8G4U0",75,302
"225","A9IFF9",120,348
"227","A9IFF9",120,354
"228","A5E965",120,349
"230","A4XJS8",35,272
"231","B0T310",36,270
"232","Q11CP6",74,302
"233","Q5L6R9",35,275
"234","Q253F8",35,275
"235","A8AQ74",36,273
"238","A7GHK2",35,272
"239","B9E021",35,272
"240","Q47VL4",36,273
"242","Q6NFV7",138,375
"244","Q3ZAJ2",11,248
"245","B8FUR9",35,272
"246","B8FUR9",36,272
"247","B8FUR9",119,348
"248","Q6AK07",31,270
"250","Q6AK07",36,270
"252","A5EVP4",31,271
"253","A5EVP4",36,271
"256","A5EVP4",36,274
"260","Q2NCX8",36,269
"261","Q2NCX8",74,300
"262","B1YJR9",30,265
"266","B1YJR9",35,265
"268","Q2JDP2",37,271
"269","Q2JDP2",37,274
"270","A8L1V6",37,274
"271","Q5FUL2",36,270
