"","Protein","Min","Max"
"1","Q9VZ23",16,149
"2","P32835",18,151
"4","P42558",16,149
"5","P28748",15,148
"6","P41916",19,152
"7","P79735",15,148
"8","O17915",15,148
"9","P32836",19,152
"11","P41917",19,152
"12","Q6GL85",16,149
"13","Q8H156",19,152
"14","Q7ZZX9",15,148
"15","P33519",12,145
"16","P38544",15,148
"17","Q9VUN3",16,149
"19","Q61820",16,149
"20","P38545",15,148
"21","P41915",17,150
"22","P54765",7,140
"23","Q9FLQ3",19,152
"24","P38546",19,152
"25","P41914",17,150
"26","P38547",19,152
"27","P38542",15,148
"28","Q74ZA9",13,146
"30","Q8TFK3",13,146
"32","Q7RVL0",13,146
"34","Q9P4E9",13,146
