"","Protein","Min","Max"
"1","Q9NZN4",51,287
"2","Q9NZN4",51,288
"5","Q9NZN4",155,403
"6","Q9QXY6",23,258
"7","Q9QXY6",23,271
"8","Q05193",82,321
"10","Q9UQ16",82,311
"12","Q9UQ16",537,760
"13","Q9UQ16",537,765
"14","Q9UQ16",537,768
"15","Q9NZN3",23,258
"16","Q9NZN3",23,271
"17","Q9NZN3",155,401
"18","P39053",82,321
"20","Q94464",106,353
"21","Q94464",106,360
"24","Q9H223",158,393
"25","Q9H223",158,400
"26","Q9H223",158,405
"27","Q8BH64",51,287
"28","Q8BH64",51,288
"31","Q8BH64",155,403
"32","Q8BH64",155,405
"33","P39055",39,276
"35","P39055",49,276
"37","P39055",49,300
"39","Q7YU24",143,364
"40","Q7YU24",143,366
"41","P20591",76,316
"42","P20591",76,322
"45","P79135",65,305
"46","P79135",65,311
"49","P09922",42,282
"50","P09922",42,288
"53","P09922",218,454
"54","P09922",218,466
"55","Q811U4",81,303
"56","Q811U4",81,305
"57","Q811U4",81,310
"58","Q811U4",297,524
"59","Q811U4",297,528
"60","Q811U4",297,529
"61","P32266",109,345
"62","P32266",109,351
"63","P32266",216,449
"64","P32266",216,462
"67","P32266",231,449
"68","P32266",231,462
"69","P32266",231,467
"70","P32266",612,844
"71","Q8R4Z9",81,303
"72","Q8R4Z9",81,305
"73","Q8R4Z9",81,310
"74","Q8R4Z9",297,524
"75","Q8R4Z9",297,528
"76","Q8R4Z9",297,529
"77","P27594",76,317
"78","P27594",76,323
"81","Q90597",120,360
"82","Q90597",120,366
"85","Q9EQP2",158,393
"86","Q9EQP2",158,394
"87","Q9EQP2",158,400
"88","Q4V8H8",51,287
"89","Q4V8H8",51,288
"92","Q4V8H8",155,403
"93","Q4V8H8",155,405
"94","Q84XF3",40,267
"95","Q84XF3",40,279
"97","Q84XF3",40,287
"98","Q84XF3",50,279
"99","Q84XF3",50,287
"101","Q84XF3",50,296
"106","P87320",269,512
"107","P87320",284,512
"108","Q4ADG8",74,314
"109","Q4ADG8",74,320
"112","A1E2I4",76,316
"113","A1E2I4",76,322
"116","Q4ADG7",74,314
"117","Q4ADG7",74,320
"120","Q5R5G3",76,316
"121","Q5R5G3",76,322
"124","Q9BDI7",121,359
"125","Q9BDI7",121,365
"126","Q9BDI7",159,408
"127","Q9BDI7",424,658
"128","Q9BDI7",429,658
"129","P33238",137,377
"130","P33238",137,383
"133","P33238",177,413
"134","Q6PW23",39,279
"135","Q6PW23",39,285
"138","Q000A9",39,279
"139","Q000A9",39,285
"142","Q000A9",278,502
"143","Q000A9",278,503
"144","Q000A9",278,505
"145","P20593",41,281
"146","P20593",41,287
"149","Q5U752",39,279
"150","Q5U752",39,285
"153","P18590",74,314
"154","P18590",74,320
"157","Q800G8",43,283
"158","Q800G8",43,289
"161","Q800G8",282,507
"162","Q800G8",282,511
"163","Q6DKF0",49,289
"165","Q4ADG6",74,314
"166","Q4ADG6",74,320
"169","Q4U4N4",38,278
"170","Q4U4N4",38,284
"173","Q6TKS7",49,281
"174","Q6TKS7",49,286
"177","Q6TKS7",49,292
"178","Q6TKS7",49,298
