,0,1,2,3,4,5
P48554,0,7,8.0,18.0,,
Q94124,0,7,8.0,18.0,22.0,25.0
Q05144,0,7,8.0,18.0,,
Q03206,0,7,8.0,18.0,,
P62747,0,18,,,,
Q9HBH0,0,24,28.0,35.0,,
P60763,0,7,8.0,18.0,,
P34145,0,7,8.0,18.0,,
Q92730,0,14,18.0,24.0,29.0,
P40792,0,7,8.0,18.0,,
P60764,0,7,8.0,18.0,,
P34149,0,18,28.0,,,
Q24814,0,7,8.0,18.0,26.0,
Q9GPS3,0,7,8.0,18.0,,
Q9PSX7,0,18,,,,
Q8BLR7,0,14,18.0,24.0,29.0,
Q9GPR2,0,1,5.0,8.0,13.0,23.0
O96390,0,7,8.0,18.0,,
Q7T2E8,0,18,,,,
P34150,0,7,8.0,18.0,,
Q24815,0,7,8.0,13.0,18.0,26.0
P34146,0,7,8.0,18.0,,
P01122,0,18,,,,
P61585,0,18,,,,
Q9C3Y4,0,10,18.0,,,
Q2HJ68,0,14,18.0,24.0,29.0,
Q6DHM9,0,18,,,,
O00212,0,16,18.0,,,
P52198,0,18,24.0,,,
O77683,0,18,24.0,31.0,,
P48148,0,18,,,,
Q5REY6,0,18,,,,
Q3ZBW5,0,18,,,,
P84096,0,7,8.0,18.0,33.0,
Q874R1,0,10,18.0,25.0,28.0,
Q9HF54,0,18,,,,
Q6NUX8,0,18,,,,
P97348,0,18,26.0,,,
Q8BYP3,0,24,28.0,35.0,,
P84095,0,7,8.0,18.0,33.0,
Q9HE04,0,10,18.0,,,
P34144,0,7,8.0,18.0,,
Q22038,0,18,,,,
Q09914,0,10,18.0,,,
Q9P8J9,0,7,12.0,18.0,,
Q96WY0,0,18,25.0,27.0,35.0,
P62746,0,18,,,,
Q54Z85,0,1,5.0,8.0,13.0,28.0
Q8J212,0,18,,,,
Q3SZA1,0,24,28.0,35.0,,
P84097,0,7,8.0,18.0,33.0,
P22122,0,18,,,,
P06780,0,18,,,,
Q10133,0,7,13.0,18.0,,
P62745,0,18,,,,
P61586,0,18,,,,
O42825,0,10,18.0,,,
Q9TU25,0,7,8.0,18.0,,
Q24816,0,7,8.0,18.0,28.0,31.0
A0A286QZ36,0,7,8.0,18.0,,
O88931,0,7,8.0,18.0,,
O76321,0,7,8.0,18.0,,
P34148,0,7,13.0,18.0,33.0,
