"","Protein","Min","Max"
"1","P01116",9,142
"2","P32253",10,145
"3","P32883",9,142
"4","B4NJ72",9,142
"5","Q8TAI7",12,146
"6","B4JFU8",9,142
"7","P01120",16,150
"8","Q80ZJ1",9,143
"9","P62835",9,144
"10","P11234",20,155
"11","P62834",9,144
"12","P11233",20,154
"13","P18613",11,146
"14","P62836",9,144
"15","P0CY32",10,144
"16","P01111",9,142
"17","Q295X7",9,142
"18","P08644",9,142
"19","P62833",9,144
"20","Q15382",12,146
"21","P08645",9,143
"22","P32252",12,146
"23","O42277",9,142
"24","Q9YH38",9,142
"25","P28775",16,150
"26","P48555",17,151
"27","P36860",20,155
"28","Q07983",9,142
"29","P55043",96,228
"31","P23175",9,142
"32","Q55CA9",15,149
"33","Q55CB0",20,153
"34","Q55CB8",15,149
"35","P0CQ43",15,149
"36","Q08DI5",9,143
"37","Q5RD87",9,142
"38","P61227",9,143
"39","P05774",9,142
"40","P22123",9,144
"41","P79800",9,142
"42","Q7Z444",47,178
"43","O88667",97,230
"46","Q5EFX7",9,142
"47","Q9YH37",9,144
"48","O08989",19,153
"49","Q08E00",26,161
"51","O42785",14,148
"52","P87018",14,148
"53","Q640R7",9,144
"54","P22124",20,155
"55","P12825",9,142
"56","P34729",9,143
"57","P04388",11,145
"58","Q05147",9,142
"59","Q5R988",9,143
"60","Q9D8T3",12,146
"61","O94363",12,146
"62","O94363",12,153
"63","Q7TN89",47,178
"64","Q6TEN1",9,144
"65","C4YKT4",10,144
"66","Q5R4B8",20,155
"67","P08556",9,142
"68","O14807",19,153
"69","P15064",9,143
"70","B3M185",9,142
"71","P38976",14,148
"72","Q05058",16,150
"73","Q9Y3L5",9,143
"74","P08642",9,142
"75","B4GFJ8",9,142
"76","P22279",17,151
"77","Q95ME4",9,142
"78","P08646",9,142
"79","Q62636",9,144
"80","B4LY29",9,142
"81","A8NU18",16,150
"82","Q5F352",9,142
"83","P61226",9,143
"84","Q92963",27,161
"85","Q99578",26,160
"86","P63321",20,154
"87","O93856",14,148
"88","P63320",20,154
"89","Q9YH09",20,155
"90","Q86L51",28,163
"91","Q04970",9,142
"92","Q06AU2",9,143
"93","Q9NYN1",26,161
"95","P51539",15,148
"96","P10114",9,143
"97","Q94694",11,146
"98","P32254",9,143
"99","P22278",16,150
"100","B4PUP5",9,142
"101","P22280",15,149
"102","Q55CB9",39,173
"103","P0CQ42",15,149
"104","Q2MJK3",9,142
"105","P83831",9,142
"106","Q12526",14,148
"107","P01115",61,194
"108","Q9VND8",11,145
"109","Q921J2",12,146
"110","P97538",19,153
"111","Q7ZXH7",9,144
"112","Q91806",9,142
"113","P34443",19,153
"114","A6NIZ1",9,144
"115","P01119",16,150
"116","A8XAD0",19,153
"117","Q62639",12,146
"118","P70425",26,160
"119","P62070",20,154
"120","Q18246",9,143
"121","Q8BU31",9,143
"122","P55042",97,230
"125","Q7YS69",10,144
"126","Q7SZ59",29,164
"128","P01114",68,201
"129","Q9JIW9",20,155
"130","Q55BW0",9,147
"131","Q56JV3",12,146
"132","P61225",9,143
"133","Q550Q4",12,146
"134","Q7TNZ5",12,146
"135","Q6DGN0",9,149
"136","P03967",9,143
"137","P08647",14,148
"138","P63322",20,154
"139","P01117",9,142
"140","B4HKC7",9,142
"141","P22126",14,148
"142","Q96A58",12,145
"143","B3NZR4",9,142
"144","P01113",9,142
"145","A6QP66",9,149
"146","A6QP66",9,154
"147","O75628",86,222
"148","Q8IYK8",120,256
"150","Q59XU5",10,144
"151","Q55CC0",15,149
"152","Q55CB7",16,150
"153","Q0VCJ7",12,145
"154","Q8VEL9",121,257
"156","Q08AT1",26,161
"158","O35929",86,221
"159","Q9WTY2",121,257
"161","P83832",9,142
"162","P34726",11,145
"163","P10301",35,169
"164","P62071",20,154
"165","P10833",35,169
"166","Q5R6S2",13,148
"167","O95057",13,147
"168","Q96HU8",13,148
"169","O95661",43,178
"172","Q09930",36,173
"173","Q6T310",33,174
"174","Q6P0U3",29,169
"175","Q5E9J3",39,179
"176","P55040",81,218
"177","P22981",9,142
"178","Q6IMA7",38,178
"179","Q5FVY2",39,179
"180","P13856",9,144
"181","P52498",9,144
"182","Q6IMB1",33,174
"183","Q8AVS6",40,180
"184","Q9BPW5",39,179
