"","Protein","Min","Max"
"1","P48554",9,157
"2","Q9SSX0",16,162
"3","Q9SSX0",16,163
"4","Q9SSX0",16,170
"5","Q94124",9,157
"6","O82481",14,160
"7","O82481",14,161
"8","O82481",14,168
"9","Q05144",9,157
"10","Q9GPR7",10,165
"11","Q38912",12,158
"12","Q38912",12,166
"13","Q03206",9,157
"14","Q9SBJ6",12,158
"15","Q9SBJ6",12,159
"16","Q9SBJ6",12,161
"17","P62747",11,159
"18","Q9HBH0",25,173
"19","Q9SU67",14,160
"20","Q9SU67",14,161
"21","Q9SU67",14,168
"22","Q38919",11,157
"23","Q38919",11,158
"24","Q38919",11,165
"25","P60763",9,157
"26","P34145",9,157
"27","Q92730",19,167
"28","Q92730",19,171
"29","Q92730",19,174
"30","P40792",9,157
"31","Q38937",12,158
"32","Q38937",12,159
"33","Q38937",12,166
"34","P60764",9,157
"35","Q38903",12,158
"36","Q38903",12,159
"37","Q38903",12,166
"38","P34149",12,160
"39","P34149",12,164
"40","O04369",12,158
"41","O04369",12,159
"42","O04369",12,166
"43","Q24814",9,157
"44","Q9GPS3",9,154
"45","Q9GPS3",9,156
"46","Q6Z808",14,160
"47","Q6Z808",14,161
"48","Q67VP4",14,160
"49","Q67VP4",14,161
"50","Q67VP4",14,168
"51","P34147",9,162
"52","P34147",9,163
"53","Q40220",12,158
"54","Q40220",12,159
"55","Q40220",12,166
"56","Q9PSX7",11,159
"57","Q8BLR7",19,167
"58","Q8BLR7",19,171
"59","Q8BLR7",19,174
"60","Q9GPR2",11,162
"61","Q9GPR2",11,163
"62","O96390",9,154
"63","O96390",9,156
"64","Q9XGU0",24,170
"65","Q9XGU0",24,171
"66","Q9XGU0",24,172
"67","Q9XGU0",24,178
"68","Q6EP31",12,158
"69","Q6EP31",12,159
"70","Q6EP31",12,166
"71","Q7T2E8",11,159
"72","Q9HF51",21,167
"73","Q9HF51",21,169
"74","Q9HF51",21,174
"75","P34150",14,162
"76","Q68Y52",13,159
"77","Q68Y52",13,160
"78","Q68Y52",13,167
"79","Q24815",0,148
"80","Q54YY4",11,165
"83","P34146",9,157
"84","Q41254",12,158
"85","Q41254",12,159
"86","Q41254",12,166
"87","P92978",12,158
"88","P92978",12,159
"89","P92978",12,166
"90","P01122",11,159
"91","P61585",11,159
"92","Q9C3Y4",11,159
"93","Q24192",17,169
"94","Q24192",17,172
"95","Q2HJ68",19,167
"96","Q2HJ68",19,171
"97","Q2HJ68",19,174
"98","Q6DHM9",11,159
"99","O00212",23,171
"100","P52198",13,161
"101","P52198",13,162
"102","P52198",13,164
"103","P52198",13,165
"104","P52198",13,168
"105","O77683",29,177
"106","O77683",29,181
"107","O77683",29,184
"108","P48148",11,159
"109","P48148",11,162
"110","Q5REY6",11,159
"111","Q3ZBW5",11,159
"112","P84096",9,157
"113","Q874R1",20,169
"114","Q9HF54",17,165
"115","Q6NUX8",11,159
"116","P97348",23,171
"117","Q8BYP3",25,173
"118","P84095",9,157
"119","Q6ZHA3",12,158
"120","Q6ZHA3",12,159
"121","Q9HE04",12,160
"122","Q23862",17,163
"123","P34144",9,157
"124","Q22038",11,159
"125","Q9P8V0",58,212
"126","Q91V93",306,463
"129","Q09914",12,160
"130","Q9P8J9",23,171
"131","Q9P8J9",23,172
"132","Q96WY0",75,224
"133","Q96WY0",75,225
"134","Q96WY0",75,233
"135","Q96WY0",75,237
"136","P06781",13,158
"137","P62746",11,159
"138","Q41253",12,158
"139","Q41253",12,159
"140","Q41253",12,166
"141","Q6Z7L8",12,158
"142","Q6Z7L8",12,159
"143","Q6Z7L8",12,167
"144","Q54Z85",10,166
"145","Q54Z85",10,167
"146","Q8J212",18,166
"147","O13928",19,172
"148","Q3SZA1",29,177
"149","P84097",9,157
"150","O82480",12,157
"151","O82480",12,164
"152","Q39435",12,158
"153","Q39435",12,159
"154","Q39435",12,166
"155","Q00246",78,232
"156","P22122",11,158
"157","P06780",16,164
"158","Q10133",14,162
"159","Q10133",14,163
"160","P62745",11,159
"161","Q00245",22,171
"162","Q00245",22,176
"163","Q9BYZ6",306,463
"166","P61586",11,159
"167","O42825",15,163
"168","Q35638",12,158
"169","Q35638",12,159
"170","Q35638",12,161
"171","Q35638",12,166
"172","Q9TU25",9,157
"173","Q24816",13,161
"174","Q24816",13,165
"175","A0A286QZ36",9,157
"176","O88931",9,157
"177","O76321",9,157
"178","O76321",9,161
"179","P34148",9,157
"180","P33153",81,229
"181","Q9HF56",9,170
