Protein,G1 Entropy,G3 Entropy,G4 Entropy,G5 Entropy,Frequency
AIG1,9.54489338,6.4034774,7.64393295,5.99451991,44
Arf,2.15949456,3.84399836,0.67648753,4.81972988,140
Dynamin,9.48921388,6.02182575,4.56500294,7.67841721,115
EngA,8.19188977,8.6266059,4.78684919,8.37003818,424
EngB,2.28347335,3.71915248,2.51116772,4.71900088,401
Era,3.7314742,2.88691853,1.87534794,4.15136933,188
FeoB,1.12467029,0,2.07944154,2.64177669,18
GB1,11.27412406,8.24259167,9.12915287,6.72209387,116
Hflx,3.50101386,2.10042728,2.27956965,5.88585037,26
IRG,0,3.47025291,0,1.73512646,10
Obg,12.74243574,8.17752646,8.74096094,4.91879417,659
Rab,6.23190307,2.38175455,2.63211127,2.8713755,470
Rac,2.23348866,0.72018619,3.44853907,1.68539634,128
Ran,0.41011632,1.50120727,0.1540761,0.41139474,29
Ras,3.51042953,2.5482273,1.64599565,2.65940756,190
Roc,14.51804922,9.29342081,8.81064906,12.87519191,19
Septin,2.0944694,4.4272927,0.82166197,2.9348854,86
SRP,5.47105483,3.49128687,1.67609796,2.40467816,99
Translational,12.08352085,7.13477855,4.31843614,11.35443616,2869
tRme,5.8945755,3.2520993,3.09740468,7.14469551,454
