"","Protein","Min","Max"
"1","P40797",148,336
"2","P40797",148,340
"3","P40797",148,344
"7","Q9NVA2",47,233
"8","Q9NVA2",47,238
"13","Q9JJM9",50,240
"14","Q9JJM9",50,243
"15","Q9JJM9",50,248
"19","Q16181",56,245
"20","Q16181",56,250
"23","Q15019",43,231
"24","Q15019",43,233
"25","Q15019",43,237
"26","Q15019",43,241
"31","P28661",150,340
"32","P28661",150,343
"33","P28661",150,348
"37","Q9R1T4",48,234
"38","Q9R1T4",48,239
"43","P42208",43,231
"44","P42208",43,233
"45","P42208",43,237
"46","P42208",43,241
"51","Q9UH03",67,257
"52","Q9UH03",67,260
"53","Q9UH03",67,265
"57","Q99719",50,240
"58","Q99719",50,243
"59","Q99719",50,248
"63","Q91Y81",43,231
"64","Q91Y81",43,233
"65","Q91Y81",43,237
"66","Q91Y81",43,241
"71","Q14141",48,234
"72","Q14141",48,239
"77","B3GNI6",47,233
"78","B3GNI6",47,238
"83","O43236",150,340
"84","O43236",150,343
"85","O43236",150,348
"89","Q9Z2Q6",50,240
"90","Q9Z2Q6",50,243
"91","Q9Z2Q6",50,248
"95","O55131",55,244
"96","O55131",55,249
"99","Q9UHD8",304,496
"100","Q9UHD8",304,501
"103","Q8WYJ6",31,221
"104","Q8WYJ6",31,224
"105","Q8WYJ6",31,229
"109","P39827",43,235
"110","P39827",43,237
"111","P39827",43,240
"115","P25342",38,231
"116","P25342",38,236
"119","G1UB61",30,224
"120","G1UB61",30,228
"121","P32468",40,228
"122","P32468",40,232
"123","P32468",40,238
"127","P32458",28,225
"128","P32458",28,230
"129","P48008",58,249
"130","P48008",58,254
"131","P48008",58,258
"132","P48008",58,259
"133","Q09883",36,225
"134","Q09883",36,229
"135","Q09883",36,230
"139","Q2KJB1",71,257
"140","Q2KJB1",71,262
"145","A2VE99",47,233
"146","A2VE99",47,238
"151","Q2NKY7",43,231
"152","Q2NKY7",43,233
"153","Q2NKY7",43,237
"154","Q2NKY7",43,241
"159","Q5BKN4",42,230
"160","Q5BKN4",42,232
"161","Q5BKN4",42,235
"162","Q5BKN4",42,240
"167","A5PJU9",31,221
"168","A5PJU9",31,224
"169","A5PJU9",31,229
"173","Q5R1W1",53,242
"174","Q5R1W1",53,247
"177","B0KWP7",50,236
"178","B0KWP7",50,241
"183","Q6AXA6",48,234
"184","Q6AXA6",48,239
"189","A4FUM1",48,234
"190","A4FUM1",48,239
"191","A4FUM1",48,240
"198","Q9P0V9",72,258
"199","Q9P0V9",72,263
"204","Q8C650",45,231
"205","Q8C650",45,236
"210","A6QQL3",58,244
"211","A6QQL3",58,249
"217","Q9DA97",57,246
"220","Q9DE33",42,230
"221","Q9DE33",42,232
"222","Q9DE33",42,240
"226","B5FW69",50,236
"227","B5FW69",50,241
"232","Q642H3",48,234
"233","Q642H3",48,239
"238","P42207",41,230
"239","P42207",41,234
"240","P42207",41,238
"244","P42209",31,224
"245","P42209",31,229
"248","A2BGU8",79,271
"249","A2BGU8",79,276
"252","Q9WVC0",55,244
"253","Q9WVC0",55,249
"256","O36023",101,292
"257","O36023",101,296
"258","O36023",101,299
"259","O36023",101,301
"260","Q09116",38,230
"261","Q09116",38,235
"262","Q09116",38,237
"266","P48009",34,226
"267","P48009",34,231
"270","Q5REG8",72,258
"271","Q5REG8",72,263
"276","P48010",124,305
"278","P41901",57,234
"279","P41901",115,295
"280","P41901",115,297
"281","P41901",115,299
"282","Q4R555",47,233
"283","Q4R555",47,238
"288","A1L0Y5",42,230
"289","A1L0Y5",42,232
"290","A1L0Y5",42,240
"294","Q08DM7",67,256
"295","Q08DM7",67,259
"296","Q08DM7",67,264
"300","Q4R4X5",150,340
"301","Q4R4X5",150,343
"302","Q4R4X5",150,348
"306","Q0VC68",50,240
"307","Q0VC68",50,243
"308","Q0VC68",50,248
"312","Q3SZN0",48,234
"313","Q3SZN0",48,239
"318","Q0VCP4",50,236
"319","Q0VCP4",50,241
"324","Q80UG5",302,494
"325","Q80UG5",302,499
"328","Q5PQK1",49,235
"329","Q5PQK1",49,240
"334","Q8C1B7",47,233
"335","Q8C1B7",47,238
"340","Q6ZU15",58,244
"341","Q6ZU15",58,249
"347","Q5ZMH1",42,230
"348","Q5ZMH1",42,232
"349","Q5ZMH1",42,235
"350","Q5ZMH1",42,240
"355","Q5RA66",43,231
"356","Q5RA66",43,233
"357","Q5RA66",43,237
"358","Q5RA66",43,241
"363","Q6Q137",56,245
"364","Q6Q137",56,250
"367","B1H120",48,234
"368","B1H120",48,239
"373","Q5R8U3",47,233
"374","Q5R8U3",47,238
"379","Q5R6R7",150,340
"380","Q5R6R7",150,343
"381","Q5R6R7",150,348
"385","Q5R481",56,245
"386","Q5R481",56,250
"389","Q8CHH9",50,236
"390","Q8CHH9",50,241
"395","Q9QZR6",284,475
"396","Q9QZR6",284,480
"399","Q6IRQ5",48,234
"400","Q6IRQ5",48,239
"405","Q5EB96",31,224
"406","Q5EB96",31,229
"409","P54359",49,235
"410","P54359",49,240
"415","Q8STS8",15,200
"416","P39826",41,232
"417","P39826",41,235
"418","P39826",41,240
"419","P32457",100,287
"420","P32457",100,297
