,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
B8GYI7,11.0,25.0,50.0,59.0,16.0,30.0,11.0,25.0,11.0,25.0,11.0,25.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,19.0,28.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,17.0,26.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0ABU2,1.0,7.0,20.0,25.0,47.0,50.0,51.0,1.0,7.0,20.0,25.0,47.0,50.0,51.0,1.0,7.0,20.0,25.0,47.0,50.0,51.0,1.0,7.0,20.0,25.0,47.0,50.0,51.0,1.0,7.0,20.0,25.0,47.0,50.0,51.0,11.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6Z1J6,1.0,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9SA73,1.0,5.0,7.0,20.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O44411,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95722,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,21.0,23.0,39.0,9.0,15.0,16.0,29.0,9.0,15.0,16.0,29.0,9.0,15.0,16.0,29.0,9.0,15.0,16.0,29.0,4.0,10.0,11.0,24.0,4.0,10.0,11.0,24.0,4.0,10.0,11.0,24.0,4.0,10.0,11.0,24.0,4.0,10.0,11.0,24.0,4.0,10.0,11.0,24.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5F5D9,12.0,19.0,27.0,12.0,19.0,27.0,60.0,14.0,16.0,11.0,13.0,11.0,13.0,11.0,13.0,11.0,13.0,11.0,13.0,11.0,13.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,11.0,17.0,24.0,32.0,17.0,24.0,32.0,17.0,24.0,32.0,17.0,24.0,32.0,17.0,24.0,32.0,17.0,24.0,32.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,1.0,4.0,19.0,20.0,1.0,4.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9KUS8,11.0,35.0,50.0,57.0,16.0,16.0,40.0,11.0,35.0,11.0,35.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,2.0,17.0,24.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,12.0,19.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38860,40.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q29K06,4.0,39.0,43.0,21.0,19.0,16.0,10.0,10.0,14.0,15.0,22.0,14.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4HSD4,16.0,38.0,58.0,16.0,38.0,58.0,7.0,53.0,7.0,53.0,7.0,53.0,16.0,38.0,16.0,38.0,11.0,33.0,11.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5FV29,11.0,18.0,35.0,50.0,59.0,16.0,23.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
