"","Protein","Min","Max"
"1","P32456",99,297
"18","P32456",101,297
"31","P32455",99,299
"45","P32455",101,299
"63","Q61107",93,292
"78","Q61107",95,292
"93","P93042",19,210
"98","P93042",43,210
"102","Q9ULX5",175,387
"106","Q08DF2",176,384
"117","Q01514",99,297
"139","Q96PP9",114,313
"155","Q8CFB4",99,298
"170","Q9Z0E6",99,297
"186","Q96PP8",99,297
"213","Q6PST4",278,458
"215","Q63663",99,297
"231","Q58D72",278,458
"233","Q8N8V2",99,298
"251","Q2R224",37,209
"252","Q2R224",37,221
"268","Q2R224",39,209
"269","Q2R224",39,221
"282","Q2R224",54,221
"289","Q0JLS6",19,210
"293","Q0JLS6",43,210
"300","Q2QMH2",31,213
"309","Q2QMH2",46,213
"313","Q9SSN0",48,215
"317","Q5D1D6",99,297
"340","Q5D1D6",101,297
"363","Q6ZN66",99,298
"389","Q6ZN66",101,298
"415","Q5RBE1",99,299
"429","Q5RBE1",101,299
"447","Q5R9T9",99,298
"480","Q5R9T9",101,298
"513","C0NJ57",533,735
"520","C0NJ57",535,735
"530","C0NJ57",540,735
"540","C0NJ57",545,735
"547","C5GMK3",533,735
"550","C5GMK3",535,735
"556","C5GMK3",540,735
"562","A1CPP3",529,731
"566","A1CPP3",531,731
"572","A1CPP3",536,731
"578","A1CPP3",541,731
"583","A2EK80",22,238
"594","A2EK80",37,238
"607","Q2UNK6",526,728
"611","Q2UNK6",528,728
"617","Q2UNK6",531,728
"623","Q2UNK6",533,728
"629","Q2UNK6",538,728
"634","A6S544",552,755
"638","A6S544",554,755
"646","A6S544",559,755
"654","A1D2K1",531,733
"658","A1D2K1",533,733
"664","A1D2K1",538,733
"670","A1D2K1",543,733
"675","A6R1D5",533,735
"682","A6R1D5",535,735
"692","A6R1D5",540,735
"702","A6R1D5",545,735
"709","B8NJL4",525,727
"713","B8NJL4",527,727
"719","B8NJL4",530,727
"725","B8NJL4",532,727
"731","B8NJL4",537,727
"736","C5K3E1",533,735
"739","C5K3E1",535,735
"745","C5K3E1",540,735
"751","C5DTA7",249,430
"753","C5DTA7",254,430
"755","A7AT07",79,270
"782","A7AT07",89,270
"804","Q5BEE5",526,728
"805","Q5BEE5",538,728
"807","Q525S7",455,631
"813","Q525S7",516,719
"818","Q525S7",518,719
"827","Q525S7",523,719
"836","B6GX67",455,660
"839","B6GX67",546,748
"840","B6GX67",548,748
"843","B6GX67",553,748
"846","B6GX67",558,748
"848","A2QR20",526,728
"852","A2QR20",528,728
"858","A2QR20",533,728
"864","A2QR20",538,728
"869","Q74ZD5",454,671
"871","A7TJY3",161,355
"878","A7TJY3",166,355
"881","C0S6S4",533,735
"884","C0S6S4",535,735
"890","C0S6S4",540,735
"896","C0S6S4",545,735
"899","B2W244",524,727
"905","B2W244",526,727
"913","B2W244",531,727
"921","A7ERA6",554,757
"927","A7ERA6",556,757
"938","A7ERA6",561,757
"949","Q0D0W7",525,727
"953","Q0D0W7",527,727
"959","Q0D0W7",532,727
"965","Q0D0W7",537,727
"970","C5FJT2",527,729
"973","C5FJT2",539,729
"976","B6QIM3",546,748
"979","B6QIM3",548,748
"984","B6QIM3",553,748
"989","Q8TGG5",531,733
"993","Q8TGG5",533,733
"999","Q8TGG5",538,733
"1005","Q8TGG5",543,733
"1010","C4Y2Z9",189,357
"1012","A5E240",179,359
"1013","B0XQZ0",531,733
"1017","B0XQZ0",533,733
"1023","B0XQZ0",538,733
"1029","B0XQZ0",543,733
"1034","C4JQN4",532,733
"1039","C4JQN4",534,733
"1046","C4JQN4",539,733
"1053","Q1DL22",531,732
"1058","Q1DL22",533,732
"1065","Q1DL22",538,732
"1072","C1G4S9",533,735
"1079","C1G4S9",535,735
"1089","C1G4S9",540,735
"1099","C1G4S9",545,735
"1106","B0D0N9",500,675
"1107","B8MK20",548,748
"1109","B8MK20",553,748
"1111","C1GWM2",534,736
"1118","C1GWM2",536,736
"1128","C1GWM2",541,736
"1138","C1GWM2",546,736
"1145","Q0V302",525,728
"1153","Q0V302",527,728
"1163","Q0V302",532,728
