"","Protein","Min","Max"
"1","P32456",44,238
"2","P32456",44,244
"19","P32456",44,263
"23","P32456",54,238
"24","P32456",54,244
"29","P32456",54,263
"41","P32456",54,268
"42","P32456",54,272
"46","P32456",54,274
"55","P32456",54,280
"66","P32456",99,268
"67","P32456",99,272
"68","P32456",99,274
"69","P32456",99,280
"70","P32456",99,292
"80","P32456",99,299
"85","P32456",99,302
"86","P32456",99,303
"117","P32456",99,311
"160","P32456",99,314
"161","P32456",99,316
"162","P32456",101,268
"163","P32456",101,272
"164","P32456",101,274
"165","P32456",101,280
"166","P32456",101,292
"171","P32456",101,299
"176","P32456",101,302
"177","P32456",101,303
"187","P32456",101,311
"230","P32456",101,314
"231","P32456",101,316
"232","P32456",208,397
"233","P32456",208,398
"234","P32456",208,400
"235","P32456",208,401
"236","P32456",208,405
"252","P32456",282,464
"253","P32456",282,468
"254","P32456",282,470
"255","P32456",282,478
"256","P32456",282,480
"257","P32456",282,484
"263","P32456",282,492
"264","P32456",282,495
"270","P32456",282,497
"271","P32456",282,498
"292","P32455",44,246
"304","P32455",44,265
"305","P32455",54,246
"309","P32455",54,265
"314","P32455",54,270
"315","P32455",54,274
"319","P32455",54,276
"328","P32455",54,282
"334","P32455",99,270
"335","P32455",99,274
"336","P32455",99,276
"337","P32455",99,282
"338","P32455",99,294
"348","P32455",99,301
"358","P32455",99,304
"359","P32455",99,305
"380","P32455",99,313
"386","P32455",99,316
"387","P32455",99,318
"420","P32455",101,270
"421","P32455",101,274
"422","P32455",101,276
"423","P32455",101,282
"424","P32455",101,294
"434","P32455",101,301
"444","P32455",101,304
"445","P32455",101,305
"466","P32455",101,313
"472","P32455",101,316
"473","P32455",101,318
"531","P32455",101,324
"532","P32455",101,325
"533","P32455",284,466
"534","P32455",284,469
"535","P32455",284,472
"538","P32455",284,494
"539","P32455",284,497
"542","P32455",284,499
"543","P32455",284,501
"568","Q61107",38,210
"569","Q61107",38,234
"583","Q61107",93,294
"586","Q61107",93,298
"602","Q61107",93,306
"603","Q61107",93,311
"614","Q61107",93,317
"615","Q61107",93,318
"622","Q61107",93,322
"623","Q61107",93,323
"624","Q61107",95,294
"627","Q61107",95,298
