,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
P40797,1,27,33,45,47.0,1.0,27.0,33.0,45.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q9NVA2,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q9JJM9,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q16181,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15019,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
P28661,1,9,27,31,47.0,1.0,9.0,27.0,31.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q9R1T4,1,5,9,17,19.0,29.0,42.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,,,,,,,,,,,,
P42208,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q9UH03,1,5,27,47,1.0,5.0,27.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99719,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q91Y81,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q14141,1,5,9,17,19.0,29.0,42.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,,,,,,,,,,,,
B3GNI6,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
O43236,1,9,27,31,47.0,1.0,9.0,27.0,31.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q9Z2Q6,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
O55131,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UHD8,1,5,19,27,34.0,47.0,1.0,5.0,19.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,
Q8WYJ6,1,9,25,27,47.0,1.0,9.0,25.0,27.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
P39827,1,5,12,13,27.0,28.0,1.0,5.0,12.0,13.0,27.0,28.0,51.0,,,,,,,,,,,,,,,,,,,,,,
P25342,1,5,16,26,28.0,29.0,35.0,37.0,1.0,5.0,16.0,26.0,28.0,29.0,35.0,37.0,52.0,,,,,,,,,,,,,,,,,,
P32458,1,5,14,16,17.0,22.0,24.0,26.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2KJB1,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
A2VE99,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q2NKY7,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q5BKN4,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
A5PJU9,1,9,25,27,29.0,47.0,1.0,9.0,25.0,27.0,29.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,
Q5R1W1,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
B0KWP7,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,,,,,,,,,,,,,,
Q6AXA6,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,46.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,46.0,,,,,,,,,,,,
A4FUM1,1,5,9,10,29.0,42.0,1.0,5.0,9.0,10.0,29.0,42.0,46.0,1.0,5.0,9.0,10.0,29.0,42.0,46.0,,,,,,,,,,,,,,,
Q9P0V9,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q8C650,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
A6QQL3,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q9DA97,0,1,5,9,14.0,26.0,29.0,42.0,0.0,1.0,5.0,9.0,14.0,26.0,29.0,42.0,46.0,0.0,1.0,5.0,9.0,14.0,26.0,29.0,42.0,46.0,0.0,1.0,5.0,9.0,14.0,26.0,29.0,42.0,46.0
Q9DE33,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
B5FW69,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,,,,,,,,,,,,,,
Q642H3,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
P42207,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
P42209,1,9,24,27,29.0,47.0,1.0,9.0,24.0,27.0,29.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,
A2BGU8,1,5,16,27,47.0,1.0,5.0,16.0,27.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q9WVC0,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09116,1,5,27,28,33.0,1.0,5.0,27.0,28.0,33.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
P48009,0,1,5,9,10.0,28.0,34.0,48.0,0.0,1.0,5.0,9.0,10.0,28.0,34.0,48.0,52.0,,,,,,,,,,,,,,,,,,
Q5REG8,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q4R555,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
A1L0Y5,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q08DM7,1,5,27,47,1.0,5.0,27.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4R4X5,1,9,27,31,47.0,1.0,9.0,27.0,31.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q0VC68,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q3SZN0,1,5,9,17,19.0,29.0,42.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,1.0,5.0,9.0,17.0,19.0,29.0,42.0,46.0,,,,,,,,,,,,
Q0VCP4,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,,,,,,,,,,,,,,
Q80UG5,1,5,19,27,34.0,47.0,1.0,5.0,19.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,
Q5PQK1,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q8C1B7,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q6ZU15,1,5,9,29,42.0,1.0,5.0,9.0,29.0,42.0,46.0,1.0,5.0,9.0,29.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q5ZMH1,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q5RA66,1,9,27,34,47.0,1.0,9.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q6Q137,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
B1H120,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,46.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,46.0,,,,,,,,,,,,
Q5R8U3,1,5,9,17,42.0,1.0,5.0,9.0,17.0,42.0,46.0,1.0,5.0,9.0,17.0,42.0,46.0,,,,,,,,,,,,,,,,,,
Q5R6R7,1,9,27,31,47.0,1.0,9.0,27.0,31.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Q5R481,1,9,26,46,1.0,9.0,26.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8CHH9,1,5,9,10,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,1.0,5.0,9.0,10.0,13.0,29.0,42.0,,,,,,,,,,,,,,
Q9QZR6,1,5,27,34,47.0,1.0,5.0,27.0,34.0,47.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,
