"","Protein","Min","Max"
"1","Q9NZN4",155,392
"2","P39052",37,276
"3","P39052",37,280
"6","Q05193",37,276
"7","Q05193",37,280
"10","Q9UQ16",37,276
"11","Q9UQ16",37,280
"14","P39053",37,276
"15","P39053",37,280
"18","P39054",37,276
"19","P39054",37,280
"22","Q8BH64",155,392
"23","P39055",39,278
"24","P39055",39,282
"27","P39055",49,278
"28","P39055",49,282
"31","P39055",49,297
"33","P20591",76,322
"34","P20591",76,326
"37","P79135",65,311
"38","P79135",65,315
"41","P09922",42,288
"42","P09922",42,292
"45","Q811U4",81,305
"46","P32266",109,351
"47","Q8R4Z9",81,305
"48","P27594",76,323
"49","P27594",76,327
"52","Q90597",120,366
"53","Q90597",120,370
"56","A6H7I5",37,276
"57","A6H7I5",37,280
"60","Q4V8H8",155,392
"61","Q84XF3",40,282
"62","Q84XF3",40,286
"63","Q84XF3",50,282
"64","Q84XF3",50,286
"69","P87320",269,513
"70","P87320",269,517
"71","P87320",284,513
"72","P87320",284,517
"73","Q4ADG8",74,320
"74","Q4ADG8",74,324
"77","A1E2I4",76,322
"78","A1E2I4",76,326
"81","Q4ADG7",74,320
"82","Q4ADG7",74,324
"85","Q5R5G3",76,322
"86","Q5R5G3",76,326
"89","Q9BDI7",121,365
"90","Q9BDI7",121,369
"91","P33238",137,383
"92","P33238",137,387
"95","Q6PW23",39,285
"96","Q6PW23",39,289
"99","Q000A9",39,285
"100","Q000A9",39,289
"103","P20593",41,287
"104","P20593",41,291
"107","Q5U752",39,285
"108","Q5U752",39,289
"111","P18590",74,320
"112","P18590",74,324
"115","Q800G8",43,289
"116","Q800G8",43,293
"119","Q6DKF0",49,295
"120","Q6DKF0",49,299
"123","Q4ADG6",74,320
"124","Q4ADG6",74,324
"127","Q4U4N4",38,284
"128","Q4U4N4",38,288
"131","Q6TKS7",49,298
"132","Q6TKS7",49,302
"135","P18589",74,320
"136","P18589",74,324
"139","Q8JH68",43,289
"140","Q8JH68",43,293
"143","Q28379",76,322
"144","Q28379",76,326
"147","Q7T2P0",40,291
"148","Q7T2P0",40,295
"149","P18588",67,313
"150","P18588",67,317
"153","Q9WVP9",69,315
"154","Q9WVP9",69,319
"157","Q91196",40,286
"158","Q91196",40,290
"161","A7VK00",121,365
"162","A7VK00",121,369
"163","Q800G5",49,295
"164","Q800G5",49,299
"167","P33237",71,317
"168","P33237",71,321
"171","Q91197",40,286
"172","Q91197",40,290
"175","Q9N0Y3",72,318
"176","Q9N0Y3",72,322
"179","P20592",124,369
"180","P20592",124,373
"183","Q91192",40,286
"184","Q91192",40,290
"187","Q9N0Y2",124,369
"188","Q9N0Y2",124,373
"191","Q2KTC2",39,285
"192","Q2KTC2",39,289
"195","Q6TN15",39,285
"196","Q6TN15",39,289
"199","Q5I2P5",124,368
"200","Q5I2P5",124,372
"201","Q80U63",102,326
"202","P50570",37,276
"203","P50570",37,280
"206","Q8BZ98",37,276
"207","Q8BZ98",37,280
"210","Q8BZ98",463,694
"211","Q8BZ98",463,695
"212","Q8BZ98",512,732
"214","P21575",37,276
"215","P21575",37,280
"218","P42697",40,282
"219","P42697",40,286
"220","P42697",50,282
"221","P42697",50,286
"226","Q9ZP55",71,305
"228","Q9ZP55",71,317
"229","Q8LF21",41,283
"230","Q8LF21",41,287
"231","Q9FNX5",46,288
"232","Q9FNX5",46,292
"233","Q08DF4",37,276
"234","Q08DF4",37,280
"237","Q08877",37,276
"238","Q08877",37,280
"241","P27619",32,271
"242","P27619",32,275
"245","P27619",42,271
"246","P27619",42,275
"249","P27619",42,290
"251","P27619",505,753
"252","P27619",510,753
"253","Q8LFT2",49,297
"254","Q8LFT2",49,301
"255","Q8S3C9",41,283
"256","Q8S3C9",41,286
"257","Q8S3C9",41,287
"258","Q9SE83",44,268
"260","Q9LQ55",44,268
"262","Q9LQ55",537,760
"264","Q2TA68",105,355
"265","Q2TA68",109,355
"266","Q2TA68",110,355
"268","Q2TA68",294,545
"269","Q5U3A7",300,551
"270","Q5RAM3",105,355
"271","Q5RAM3",109,355
"272","Q5RAM3",110,355
"274","Q5RAM3",294,545
"275","O93248",306,556
"276","O60313",105,355
"277","O60313",109,355
"278","O60313",110,355
"280","O60313",294,545
"281","Q9USY7",160,402
"285","Q5F499",311,562
"286","Q39821",40,282
"287","Q39821",40,286
"288","Q39821",50,282
"289","Q39821",50,286
"292","Q39821",202,431
"293","Q54MH8",418,661
"294","O00429",85,329
"295","O00429",90,329
"296","Q2KIA5",98,342
"297","Q2KIA5",103,342
"298","Q7SXN5",84,328
"299","Q7SXN5",89,328
"300","P54861",121,349
"301","Q84N64",54,304
"302","Q84N64",54,308
"303","Q9NZN4",155,373
"304","Q9QXY6",23,235
"305","P39052",37,251
"307","Q05193",37,251
"309","Q9UQ16",37,248
"310","Q9UQ16",37,252
"313","Q9UQ16",537,734
"314","Q9NZN3",23,235
"315","Q9NZN3",155,373
"316","P39053",37,251
"318","P39054",37,251
"320","Q94464",106,327
"322","Q9H223",158,376
"323","Q8BH64",155,373
"324","P39055",49,269
"326","P20591",76,291
"328","P79135",65,280
"330","Q811U4",297,502
"331","P32266",612,821
"332","Q8R4Z9",297,502
"333","P27594",76,292
"335","A6H7I5",37,251
"337","Q9EQP2",158,376
"338","Q4V8H8",155,373
"339","Q4ADG8",74,289
"341","A1E2I4",76,291
"343","Q4ADG7",74,289
"345","Q5R5G3",76,291
"347","Q9BDI7",121,334
"348","P33238",137,352
"350","Q6PW23",39,254
"352","Q5U752",39,254
"354","P18590",74,289
"356","Q800G8",282,482
"357","Q6DKF0",49,264
"359","Q4ADG6",74,289
"361","Q6TKS7",49,267
"363","P18589",74,289
"365","Q28379",76,291
"367","P18588",67,282
"369","Q9WVP9",69,284
"371","A7VK00",121,334
"372","Q800G5",49,264
"374","P33237",71,286
"376","Q9N0Y3",72,287
"378","P20592",124,338
"380","Q9N0Y2",124,338
"382","Q5I2P5",124,337
"383","Q80U63",318,523
"384","P50570",37,251
"386","Q8BZ98",37,248
"387","Q8BZ98",37,252
"390","Q8BZ98",512,728
"392","Q8BZ98",527,728
"393","Q8BZ98",527,732
"396","P21575",37,251
"398","Q9FNX5",46,261
"399","Q08DF4",37,251
"401","Q08877",37,248
"402","Q08877",37,252
"405","Q08877",537,734
"406","Q08877",537,738
"407","P27619",32,246
"409","P27619",42,246
"411","P27619",42,262
"413","Q9SE83",595,806
"414","Q9SE83",595,810
"419","Q9SE83",600,806
"420","Q9SE83",600,810
"425","Q9LQ55",602,813
"426","Q9LQ55",602,817
"431","Q9LQ55",607,813
"432","Q9LQ55",607,817
"437","Q8R491",23,235
"438","P38297",275,471
"439","Q23424",106,321
"440","Q23424",106,326
