,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Q969Y2,20.0,21.0,27.0,,,,,,,,,,,,,,
Q9WYA4,1.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q8KAS1,1.0,5.0,20.0,21.0,34.0,39.0,,,,,,,,,,,
Q923K4,20.0,21.0,27.0,,,,,,,,,,,,,,
Q8Y3H5,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
Q9KVY5,15.0,20.0,21.0,,,,,,,,,,,,,,
P43730,15.0,20.0,21.0,,,,,,,,,,,,,,
A5F485,15.0,20.0,21.0,,,,,,,,,,,,,,
Q9CLQ1,15.0,20.0,21.0,,,,,,,,,,,,,,
Q8DDI1,15.0,20.0,21.0,,,,,,,,,,,,,,
Q8XB41,15.0,20.0,21.0,,,,,,,,,,,,,,
Q0KFG6,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
Q0BAQ4,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
Q5PQQ1,20.0,21.0,27.0,,,,,,,,,,,,,,
Q501Z5,7.0,17.0,20.0,21.0,,,,,,,,,,,,,
A4WGH1,15.0,20.0,21.0,,,,,,,,,,,,,,
A6GXB2,1.0,5.0,20.0,21.0,24.0,,,,,,,,,,,,
Q8RHA2,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7NHT3,9.0,15.0,20.0,21.0,,,,,,,,,,,,,
B0URU2,5.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q5QZJ5,15.0,20.0,21.0,,,,,,,,,,,,,,
A6TG09,15.0,20.0,21.0,,,,,,,,,,,,,,
Q9CDH8,15.0,20.0,21.0,26.0,,,,,,,,,,,,,
A9KLX9,15.0,20.0,21.0,24.0,28.0,,,,,,,,,,,,
A2SMI8,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
Q2RFI8,20.0,21.0,24.0,28.0,35.0,,,,,,,,,,,,
Q2SR47,15.0,20.0,21.0,,,,,,,,,,,,,,
B2A470,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
B4RRB9,15.0,20.0,21.0,,,,,,,,,,,,,,
Q0AE55,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
Q6MFA3,20.0,21.0,,,,,,,,,,,,,,,
C6DK97,15.0,20.0,21.0,,,,,,,,,,,,,,
A5CY46,15.0,20.0,21.0,,,,,,,,,,,,,,
Q03D59,15.0,20.0,21.0,,,,,,,,,,,,,,
A9BHZ7,1.0,15.0,20.0,21.0,24.0,,,,,,,,,,,,
Q6LW56,15.0,20.0,21.0,,,,,,,,,,,,,,
A4T0N1,18.0,30.0,33.0,18.0,30.0,33.0,13.0,25.0,28.0,15.0,20.0,21.0,,,,,
A2CDC4,15.0,20.0,21.0,37.0,,,,,,,,,,,,,
B4F0U0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7V395,22.0,22.0,,,,,,,,,,,,,,,
Q48BF3,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
A6VF44,15.0,20.0,21.0,,,,,,,,,,,,,,
A1T0N0,15.0,20.0,21.0,,,,,,,,,,,,,,
Q21QM5,25.0,,,,,,,,,,,,,,,,
A1S1G4,15.0,20.0,21.0,,,,,,,,,,,,,,
Q8CX52,15.0,20.0,21.0,,,,,,,,,,,,,,
Q329B1,15.0,20.0,21.0,,,,,,,,,,,,,,
Q02A42,0.0,27.0,32.0,33.0,40.0,0.0,27.0,32.0,33.0,40.0,,,,,,,
A0LLH5,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
A5GPA1,15.0,20.0,21.0,37.0,15.0,20.0,21.0,37.0,,,,,,,,,
A5GW82,15.0,20.0,21.0,37.0,,,,,,,,,,,,,
A5IKF4,1.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q5SJS7,,,,,,,,,,,,,,,,,
A1TWI4,25.0,15.0,20.0,21.0,28.0,,,,,,,,,,,,
A3M8Y8,15.0,20.0,21.0,37.0,39.0,,,,,,,,,,,,
Q0VKU8,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
A8EV95,20.0,21.0,24.0,33.0,,,,,,,,,,,,,
Q1LTV8,15.0,20.0,21.0,,,,,,,,,,,,,,
Q494C0,16.0,20.0,21.0,24.0,39.0,,,,,,,,,,,,
Q89WP4,1.0,20.0,21.0,37.0,,,,,,,,,,,,,
C0QXH9,20.0,21.0,,,,,,,,,,,,,,,
Q44633,15.0,20.0,21.0,,,,,,,,,,,,,,
A4JJ44,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
A7I145,31.0,32.0,20.0,21.0,,,,,,,,,,,,,
A7H372,31.0,32.0,35.0,20.0,21.0,24.0,33.0,,,,,,,,,,
Q05FY9,1.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q3ANQ3,1.0,20.0,21.0,34.0,,,,,,,,,,,,,
Q3B1B4,1.0,20.0,21.0,34.0,39.0,,,,,,,,,,,,
A1BCU6,1.0,5.0,20.0,21.0,34.0,39.0,,,,,,,,,,,
Q1QS99,7.0,15.0,20.0,21.0,,,,,,,,,,,,,
A8ACL8,15.0,20.0,21.0,,,,,,,,,,,,,,
A7MN03,15.0,20.0,21.0,,,,,,,,,,,,,,
Q11TG8,1.0,5.0,20.0,21.0,35.0,,,,,,,,,,,,
Q24M98,,,,,,,,,,,,,,,,,
A4J9S1,15.0,20.0,21.0,15.0,20.0,21.0,,,,,,,,,,,
A1VER5,15.0,20.0,21.0,,,,,,,,,,,,,,
A8LPC2,29.0,,,,,,,,,,,,,,,,
B7UMH3,15.0,20.0,21.0,,,,,,,,,,,,,,
Q7U344,15.0,20.0,21.0,,,,,,,,,,,,,,
Q13SH7,20.0,23.0,20.0,23.0,20.0,23.0,15.0,20.0,21.0,28.0,,,,,,,
A9KX19,15.0,20.0,21.0,,,,,,,,,,,,,,
Q2JSU8,15.0,20.0,21.0,,,,,,,,,,,,,,
Q0I6N5,15.0,20.0,21.0,37.0,,,,,,,,,,,,,
A7N0X8,15.0,20.0,21.0,,,,,,,,,,,,,,
Q5E8Z9,11.0,15.0,20.0,21.0,,,,,,,,,,,,,
Q8D3I9,41.0,15.0,20.0,21.0,,,,,,,,,,,,,
B3CMJ7,28.0,,,,,,,,,,,,,,,,
Q9P9U3,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
A1JT87,15.0,20.0,21.0,,,,,,,,,,,,,,
O67030,15.0,20.0,21.0,28.0,,,,,,,,,,,,,
Q5HUK3,31.0,32.0,35.0,20.0,21.0,24.0,33.0,,,,,,,,,,
A9WKE3,15.0,20.0,21.0,24.0,,,,,,,,,,,,,
A4SGR9,1.0,20.0,21.0,34.0,39.0,1.0,20.0,21.0,34.0,39.0,,,,,,,
A6M3M5,15.0,20.0,21.0,39.0,,,,,,,,,,,,,
