"","Protein","Min","Max"
"1","P25519",203,342
"2","P25519",203,346
"3","Q980M3",185,319
"4","Q980M3",185,324
"5","Q980M3",185,333
"7","Q9Z873",235,373
"8","P94478",206,340
"9","P94478",206,346
"10","P94478",206,347
"11","P94478",206,348
"12","P94478",206,352
"13","O43824",300,447
"14","O43824",300,451
"15","O43824",300,452
"16","O43824",305,447
"17","O43824",305,451
"18","O43824",305,452
"19","A9H253",235,372
"20","A9H253",235,374
"21","A9H253",235,380
"22","Q04PB3",171,306
"23","Q04PB3",260,397
"24","Q04PB3",260,400
"25","Q04PB3",260,408
"26","Q5JGB4",138,284
"27","Q5JGB4",138,286
"28","Q5JGB4",138,294
"29","Q5JGB4",191,325
"30","Q5JGB4",191,332
"31","Q5JGB4",191,340
"32","Q58526",186,327
"33","Q0WTB4",351,495
"34","Q0WTB4",351,499
"35","A2BLW4",199,333
"36","A2BLW4",199,335
"37","A2BLW4",199,339
"38","A2BLW4",199,342
"39","A2BLW4",199,348
"40","Q8RAS5",219,363
"41","A0L4B2",207,344
"42","A6H294",205,338
"43","C1F407",215,349
"44","C1F407",215,352
"45","B2UPE7",217,352
"46","B2UPE7",217,359
"47","A1RY30",199,333
"48","A1RY30",199,341
"49","A1RY30",199,342
"50","D9R4W7",207,343
"51","D3FTV4",206,340
"52","D3FTV4",206,348
"54","D3FTV4",206,356
"55","Q3AFV0",196,328
"56","Q0I442",228,362
"57","Q0I442",228,367
"58","E0RQS7",203,338
"59","E0RQS7",203,350
"60","Q73J26",227,363
"61","Q73J26",227,368
"62","Q73J26",232,363
"63","Q73J26",232,368
"64","A9A623",189,332
"65","Q3U6U5",290,429
"66","Q3U6U5",290,437
"67","Q3U6U5",290,438
"68","Q3U6U5",290,441
"69","Q6DCC6",311,463
"70","Q6DCC6",316,463
"71","P25519",114,342
"72","P25519",114,346
"73","Q58526",135,348
"74","Q58526",135,361
"75","Q0WTB4",264,495
"76","Q0WTB4",264,499
"77","D9R4W7",118,343
