,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
P49411,16.0,26.0,34.0,15.0,25.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17745,15.0,18.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32481,14.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O50274,17.0,32.0,34.0,8.0,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O33581,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1KMH4,0.0,3.0,17.0,32.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9JB95,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7UMW2,2.0,17.0,32.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8UH69,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8AAP9,0.0,9.0,17.0,32.0,34.0,0.0,8.0,23.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56893,24.0,34.0,2.0,30.0,45.0,22.0,37.0,17.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q487Z1,0.0,1.0,2.0,3.0,10.0,16.0,25.0,26.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8XV10,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1BRU5,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q39SN2,14.0,16.0,18.0,20.0,34.0,14.0,16.0,18.0,20.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8EIJ7,28.0,30.0,28.0,30.0,28.0,30.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q088A4,0.0,2.0,28.0,30.0,0.0,2.0,28.0,30.0,0.0,2.0,28.0,30.0,0.0,2.0,28.0,30.0,23.0,25.0,23.0,25.0,23.0,25.0,23.0,25.0,3.0,11.0,14.0,16.0,,,,,,,,,,,,,
A2QI77,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9W9T4,18.0,24.0,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6BPD3,0.0,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1CXG4,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6QHL4,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2S7H3,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3E7T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8PNS6,14.0,16.0,20.0,21.0,7.0,12.0,13.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q40034,2.0,12.0,16.0,19.0,20.0,2.0,12.0,16.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5JFZ4,19.0,25.0,29.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03033,2.0,12.0,16.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3JMR0,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5DK38,13.0,19.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6FDS6,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9MB70,1.0,2.0,14.0,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9LJC8,1.0,14.0,16.0,20.0,21.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7NQF0,1.0,14.0,16.0,20.0,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4G9U1,1.0,2.0,14.0,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5FM92,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04VH3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1HMZ1,14.0,16.0,20.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6CZW5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3BWY7,14.0,16.0,20.0,21.0,7.0,12.0,13.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50257,3.0,5.0,30.0,3.0,5.0,30.0,3.0,5.0,30.0,3.0,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13TG7,1.0,14.0,16.0,20.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7MI49,5.0,0.0,6.0,9.0,0.0,36.0,39.0,0.0,4.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1CHC3,13.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
